01,16,34,55,49,44
01,16,23,24,15,07
01,16,40,18,42,05
34,55,15,07,40,18
34,55,23,24,42,05
49,44,15,07,42,05
49,44,23,24,40,18
57,04,10,54,39,43
57,04,37,58,20,29
57,04,13,26,32,53
10,54,20,29,13,26
10,54,37,58,32,53
39,43,20,29,32,53
39,43,37,58,13,26
31,30,12,14,11,02
31,30,21,48,59,56
31,30,03,46,41,38
12,14,59,56,03,46
12,14,21,48,41,38
11,02,59,56,41,38
11,02,21,48,03,46
45,33,06,47,17,25
45,33,06,52,28,51
47,17,25,52,28,51
27,08,50,09,36,19
27,08,35,22,36,19
50,09,35,22,36,19
